ut2;una_inst;colab_inst;colab_inst_ext;ins;ines;inex;nau;nauext;nauesp;wc;sample;citas;py;EU_funded
000313999000021;0;1;1;6;1;5;8;7;1;Environmental Studies;1;0;2013;0
000313153400008;0;1;1;23;3;20;24;20;3;Gerontology;1;0;2013;0
000314126700022;0;1;1;5;1;4;5;3;2;Public, Environmental & Occupational Health;1;0;2013;0
000313378500007;0;1;1;17;2;15;16;15;1;Public, Environmental & Occupational Health;1;0;2013;0
000313378500008;0;1;1;15;2;13;18;17;1;Public, Environmental & Occupational Health;1;0;2013;0
000313378500006;0;1;1;18;1;17;19;18;1;Public, Environmental & Occupational Health;1;0;2013;0
000313999000020;0;1;1;5;2;3;6;4;2;Environmental Studies;1;0;2013;0
000312008000007;0;1;1;3;2;1;2;1;1;Psychology, Social;0;0;2013;0
000309964000009;1;0;0;1;1;0;2;0;2;Ergonomics;1;0;2013;1
000313612400003;0;1;1;2;1;1;3;2;1;Psychology, Developmental;0;0;2013;0
000313612400003;0;1;1;2;1;1;3;2;1;Psychology, Experimental;0;0;2013;0
000312778000002;0;1;1;46;1;45;50;41;1;Public, Environmental & Occupational Health;1;0;2013;1
000315177100005;0;1;1;10;1;9;11;10;1;Nursing;1;0;2013;1
000312536300004;0;1;1;2;1;1;2;1;1;Business;0;0;2013;0
000312536300004;0;1;1;2;1;1;2;1;1;Management;0;0;2013;0
000313934400022;1;0;0;1;1;0;2;0;1;Psychology, Experimental;0;0;2013;0
000314135300007;1;0;0;1;1;0;3;0;2;Psychology, Multidisciplinary;0;0;2013;0
000314135300007;1;0;0;1;1;0;3;0;2;Psychology, Experimental;0;0;2013;0
000314556900003;0;1;1;4;1;3;3;2;1;Anthropology;1;0;2013;1
000313487000003;0;1;1;5;1;4;10;8;2;Public, Environmental & Occupational Health;1;0;2013;0
000312550800004;0;1;1;3;2;1;3;1;2;Economics;0;0;2013;0
000312550800004;0;1;1;3;2;1;3;1;2;Geography;1;0;2013;0
000315606700028;1;0;0;1;1;0;3;0;3;Environmental Studies;1;0;2013;0
000312088900042;0;1;1;18;1;17;15;13;1;Health Care Sciences & Services;1;0;2013;0
000311057500001;0;1;1;2;1;1;3;1;2;Management;0;0;2013;1
000312498600023;0;1;0;12;11;1;11;0;11;Public, Environmental & Occupational Health;1;0;2013;1
000314749000001;0;1;0;5;5;0;9;0;9;Psychology, Clinical;0;0;2013;0
000314135300002;0;1;1;4;1;3;3;2;1;Psychology, Multidisciplinary;0;0;2013;0
000314135300002;0;1;1;4;1;3;3;2;1;Psychology, Experimental;0;0;2013;0
000313896200009;0;1;1;4;1;3;4;3;1;Business;0;0;2013;0
000313896200009;0;1;1;4;1;3;4;3;1;Psychology, Applied;0;0;2013;0
000313896200009;0;1;1;4;1;3;4;3;1;Management;0;0;2013;0
000312828000009;0;1;0;2;2;0;5;0;4;Psychology, Clinical;0;0;2013;0
000312828000009;0;1;0;2;2;0;5;0;4;Psychology, Developmental;0;0;2013;0
000314637400005;0;1;1;3;1;2;2;1;1;Anthropology;1;0;2013;0
000314637400005;0;1;1;3;1;2;2;1;1;Planning & Development;1;0;2013;0
000313881100004;0;1;1;4;1;3;3;2;1;Economics;0;0;2013;0
000313881100004;0;1;1;4;1;3;3;2;1;Social Sciences, Mathematical Methods;1;0;2013;0
000312571900005;0;1;1;2;1;1;2;1;1;Business;0;0;2013;0
000312571900005;0;1;1;2;1;1;2;1;1;Management;0;0;2013;0
000314157800008;1;0;0;1;1;0;2;0;2;Psychology, Biological;0;0;2013;0
000314157800008;1;0;0;1;1;0;2;0;2;Psychology, Experimental;0;0;2013;0
000313232300003;1;0;0;1;1;0;3;0;3;Urban Studies;1;0;2013;0
000311961900012;0;1;0;8;8;0;20;0;20;Public, Environmental & Occupational Health;1;0;2013;1
000313001700004;1;0;0;1;1;0;2;0;2;Psychology, Multidisciplinary;0;0;2013;0
000310940200019;0;1;1;19;1;18;35;32;2;Environmental Studies;1;0;2013;0
000310940200019;0;1;1;19;1;18;35;32;2;International Relations;1;0;2013;0
000315549800006;1;0;0;1;1;0;3;0;3;Psychology, Experimental;0;0;2013;0
000315177100014;0;1;1;14;1;13;16;15;1;Nursing;1;0;2013;1
000314031700001;0;1;1;2;1;1;2;1;1;Demography;1;0;2013;0
000311697500057;0;1;1;2;1;1;2;1;1;Economics;0;0;2013;0
000311961900001;0;1;1;3;1;2;4;3;1;Public, Environmental & Occupational Health;1;0;2013;0
000315426600011;0;1;0;2;2;0;3;0;3;Environmental Studies;1;0;2013;0
000314697900013;0;1;1;4;1;3;4;3;1;Business;0;0;2013;0
000314697900013;0;1;1;4;1;3;4;3;1;Economics;0;0;2013;0
000314697900013;0;1;1;4;1;3;4;3;1;Management;0;0;2013;0
000314751800010;0;1;0;4;4;0;6;0;6;Gerontology;1;0;2013;0
000313804100011;1;0;0;1;1;0;5;0;5;Education, Scientific Disciplines;1;0;2013;0
000313860400008;0;0;0;1;1;0;1;0;1;Psychology, Clinical;0;0;2013;0
000312321000006;0;1;0;3;3;0;3;0;3;Education & Educational Research;1;0;2013;0
000311873000012;0;1;1;4;2;2;4;2;2;Anthropology;1;0;2013;1
000314430700012;1;0;0;1;1;0;4;0;4;Management;0;0;2013;1
000314448700005;0;1;1;2;1;1;3;1;2;Environmental Studies;1;0;2013;0
000314448700005;0;1;1;2;1;1;3;1;2;Psychology, Multidisciplinary;0;0;2013;0
000315450100023;0;1;0;2;2;0;5;0;5;Medical Informatics;1;0;2013;1
000314493700017;0;1;1;5;1;4;7;6;1;Psychology, Multidisciplinary;0;0;2013;0
000314493700017;0;1;1;5;1;4;7;6;1;Social Sciences, Biomedical;1;0;2013;0
000313152800053;0;1;1;4;3;1;7;1;6;Anthropology;1;0;2013;0
000312517900007;0;1;0;3;3;0;4;0;4;Education & Educational Research;1;0;2013;0
000312625700010;1;0;0;1;1;0;3;0;3;Business;0;0;2013;0
000312512600004;0;1;0;2;2;0;4;0;3;Law;0;0;2013;0
000312512600004;0;1;0;2;2;0;4;0;3;Psychology, Multidisciplinary;0;0;2013;0
000311763700005;0;1;0;2;1;1;1;0;1;Linguistics;1;0;2013;0
000311763700005;0;1;0;2;1;1;1;0;1;Psychology, Experimental;0;0;2013;0
000312577100008;0;1;1;5;2;3;5;2;3;Management;0;0;2013;1
000315387800001;0;1;1;2;1;1;2;1;1;Psychology, Biological;0;0;2013;0
000315387800001;0;1;1;2;1;1;2;1;1;Psychology, Experimental;0;0;2013;0
000314914000015;0;1;1;6;5;1;4;1;3;Public, Environmental & Occupational Health;1;0;2013;0
000314486400008;0;1;1;21;1;20;20;19;1;Public, Environmental & Occupational Health;1;0;2013;1
000312536300002;1;0;0;1;1;0;2;0;2;Business;0;0;2013;0
000312536300002;1;0;0;1;1;0;2;0;2;Management;0;0;2013;0
000311873000026;0;1;1;3;2;1;3;1;2;Anthropology;1;0;2013;0
000311193400009;0;1;1;2;1;1;2;1;1;Environmental Studies;1;0;2013;0
000313706700059;1;0;0;1;1;0;5;0;5;Engineering, Industrial;1;0;2013;0
000315606700060;0;1;1;2;1;1;3;2;1;Environmental Studies;1;0;2013;1
000315315700011;0;1;1;7;5;2;6;1;5;Psychology, Biological;0;0;2013;0
000315315700011;0;1;1;7;5;2;6;1;5;Psychology, Experimental;0;0;2013;0
000314925200018;0;1;1;3;1;2;4;3;1;Health Care Sciences & Services;1;0;2013;0
000314925200018;0;1;1;3;1;2;4;3;1;Health Policy & Services;1;0;2013;0
000313797300004;0;1;1;14;1;13;18;16;2;Public, Environmental & Occupational Health;1;0;2013;1
000313321900002;0;1;1;3;1;2;3;2;1;Psychology, Experimental;0;0;2013;0
000312839600056;0;1;1;2;1;1;5;3;2;Engineering, Industrial;1;0;2013;0
000310767000008;1;0;0;1;1;0;3;0;3;Environmental Studies;1;0;2013;0
000310767000008;1;0;0;1;1;0;3;0;3;Hospitality, Leisure, Sport & Tourism;1;0;2013;0
000310767000008;1;0;0;1;1;0;3;0;3;Management;0;0;2013;0
000314572600001;0;1;1;13;4;9;17;12;5;Public, Environmental & Occupational Health;1;0;2013;1
000315467900018;1;0;0;1;1;0;3;0;3;Geography;1;0;2013;0
000315467900018;1;0;0;1;1;0;3;0;3;Planning & Development;1;0;2013;0
000315467900018;1;0;0;1;1;0;3;0;3;Urban Studies;1;0;2013;0
000313520900004;0;1;0;2;2;0;3;0;3;Business;0;0;2013;0
000313520900004;0;1;0;2;2;0;3;0;3;Economics;0;0;2013;0
000313520900004;0;1;0;2;2;0;3;0;3;Management;0;0;2013;0
000312990700004;0;1;0;2;1;1;1;0;1;Political Science;1;0;2013;0
000311873000073;0;1;1;5;1;4;6;4;2;Anthropology;1;0;2013;0
000309623100012;0;1;1;3;1;2;2;1;1;Engineering, Industrial;1;0;2013;1
000309623100015;0;1;1;2;1;1;2;1;1;Engineering, Industrial;1;0;2013;0
000313706700019;0;1;0;2;2;0;5;0;5;Engineering, Industrial;1;0;2013;0
000315202600005;1;0;0;1;1;0;3;0;3;Psychology, Social;0;0;2013;0
000313152800048;0;1;1;10;4;6;11;6;5;Anthropology;1;0;2013;0
000313666300014;0;1;0;2;2;0;3;0;2;Psychology, Multidisciplinary;0;0;2013;0
000312547000001;1;0;0;1;1;0;2;0;2;Economics;0;0;2013;0
000312547000001;1;0;0;1;1;0;2;0;2;History;1;0;2013;0
000312547000001;1;0;0;1;1;0;2;0;2;History Of Social Sciences;1;0;2013;0
000312839600010;0;1;1;2;1;1;4;2;2;Engineering, Industrial;1;0;2013;0
000312839600024;1;0;0;1;1;0;3;0;3;Engineering, Industrial;1;0;2013;1
000314634500001;0;1;0;5;5;0;4;0;4;Gerontology;1;0;2013;0
000315309300033;1;0;0;1;1;0;4;0;4;Engineering, Industrial;1;0;2013;1
000314621300042;0;1;0;2;2;0;3;0;3;Economics;0;0;2013;0
000314490800011;0;1;0;7;7;0;10;0;10;Psychology, Clinical;0;0;2013;0
000313608200016;0;1;1;2;1;1;3;1;1;Business;0;0;2013;0
000313466600003;0;1;1;2;1;1;4;1;3;Information Science & Library Science;1;0;2013;0
000313053700003;0;1;0;2;2;0;3;0;3;Psychology, Experimental;0;0;2013;0
